Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2017,9657.15,9673.5,9637.45,9653.5,167195027,8564.3
01-JUN-2017,9603.55,9634.65,9589.9,9616.1,181533283,9482.61
31-MAY-2017,9636.55,9649.6,9609.25,9621.25,427053433,19605.94
30-MAY-2017,9590.65,9635.3,9581.2,9624.55,199894193,9765.4
29-MAY-2017,9560.05,9637.75,9547.7,9604.9,242266034,12484.61
26-MAY-2017,9507.75,9604.9,9495.4,9595.1,225647631,11204.36
25-MAY-2017,9384.05,9523.3,9379.2,9509.75,298147347,16964.26
24-MAY-2017,9410.9,9431.9,9341.65,9360.55,218265181,11045.95
23-MAY-2017,9445.05,9448.05,9370,9386.15,231345629,11553.27
22-MAY-2017,9480.25,9498.65,9427.9,9438.25,202874757,9432.97
19-MAY-2017,9469.9,9505.75,9390.75,9427.9,259861396,11544.77
18-MAY-2017,9453.2,9489.1,9418.1,9429.45,199340647,10782.46
17-MAY-2017,9517.6,9532.6,9486.1,9525.75,211856040,10726.23
16-MAY-2017,9461,9517.2,9456.35,9512.25,171709433,9209.89
15-MAY-2017,9433.55,9449.25,9423.1,9445.4,145163953,7790.97
12-MAY-2017,9436.65,9437.75,9372.55,9400.9,159079418,9813.47
11-MAY-2017,9448.6,9450.65,9411.3,9422.4,176439840,9289.89
10-MAY-2017,9339.65,9414.75,9336,9407.3,157363135,8619.06
09-MAY-2017,9337.35,9338.95,9307.7,9316.85,136417428,7504.66
08-MAY-2017,9311.45,9338.7,9297.95,9314.05,179709949,8300.22
05-MAY-2017,9374.55,9377.1,9272,9285.3,239133531,10466.68
04-MAY-2017,9360.95,9365.65,9323.25,9359.9,277895923,12379.74
03-MAY-2017,9344.7,9346.3,9298.4,9311.95,156342492,7975.14
02-MAY-2017,9339.85,9352.55,9269.9,9313.8,166558241,9110.59
28-APR-2017,9340.95,9342.65,9282.25,9304.05,167229353,8673.32
27-APR-2017,9359.15,9367.15,9322.65,9342.15,215881711,12910.38
26-APR-2017,9336.2,9367,9301.35,9351.85,191395120,10483.32
25-APR-2017,9273.05,9309.2,9250.35,9306.6,173896951,10426.02
24-APR-2017,9135.35,9225.4,9130.55,9217.95,172908048,9720.75
21-APR-2017,9179.1,9183.65,9088.75,9119.4,159981265,8476.63
20-APR-2017,9108.1,9143.9,9102.65,9136.4,175629897,8843.5
19-APR-2017,9112.2,9120.5,9075.15,9103.5,179117382,8950.27
18-APR-2017,9163,9217.9,9095.45,9105.15,179569574,8527.5
